"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 04, 2010","3.3880","3.3580","3.4090","3.3530","0.40K","1.80%"
"Jan 05, 2010","3.3960","3.3810","3.4110","3.3690","0.24K","0.24%"
"Jan 06, 2010","3.4780","3.4360","3.4990","3.4330","0.11K","2.41%"
"Jan 07, 2010","3.4120","3.4990","3.5230","3.4110","0.33K","-1.90%"
"Jan 08, 2010","3.3880","3.4010","3.4220","3.3800","0.31K","-0.70%"
"Jan 11, 2010","3.4290","3.4700","3.4770","3.4350","0.15K","1.21%"
"Jan 12, 2010","3.3370","3.3800","3.3820","3.3100","0.19K","-2.68%"
"Jan 13, 2010","3.3880","3.3120","3.3660","3.3120","0.14K","1.53%"
"Jan 14, 2010","3.3760","3.4140","3.4280","3.3780","0.23K","-0.35%"
"Jan 15, 2010","3.3550","3.3600","3.3650","3.3490","0.22K","-0.62%"
"Jan 19, 2010","3.4370","3.3900","3.4380","3.3800","1.29K","2.44%"
"Jan 20, 2010","3.3460","3.3800","3.3860","3.3340","0.15K","-2.65%"
"Jan 21, 2010","3.2850","3.3400","3.3550","3.2760","0.20K","-1.82%"
"Jan 22, 2010","3.3380","3.2880","3.3450","3.2880","0.13K","1.61%"
"Jan 25, 2010","3.3840","3.3730","3.3750","3.3700","0.18K","1.38%"
"Jan 26, 2010","3.3290","3.3500","3.3500","3.2970","0.16K","-1.63%"
"Jan 27, 2010","3.2150","3.2890","3.2900","3.2800","0.22K","-3.42%"
"Jan 28, 2010","3.0900","3.1970","3.2140","3.0890","0.35K","-3.89%"
"Jan 29, 2010","3.0460","3.1350","3.1350","3.0360","0.45K","-1.42%"
"Feb 01, 2010","3.0790","3.0300","3.1040","2.9960","0.44K","1.08%"
"Feb 02, 2010","3.0850","3.0750","3.1160","3.0750","0.14K","0.19%"
"Feb 03, 2010","2.9680","3.0650","3.0650","2.9760","0.22K","-3.79%"
"Feb 04, 2010","2.8760","2.9860","2.9860","2.8750","0.17K","-3.10%"
"Feb 05, 2010","2.8540","2.8600","2.8850","2.8600","0.10K","-0.76%"
"Feb 08, 2010","2.9090","2.8740","2.9010","2.8720","0.09K","1.93%"
"Feb 09, 2010","2.9830","2.9430","2.9970","2.9230","0.33K","2.54%"
"Feb 10, 2010","2.9860","2.9830","3.0000","2.9660","0.12K","0.10%"
"Feb 11, 2010","3.1300","3.0460","3.1360","3.0170","0.27K","4.82%"
"Feb 12, 2010","3.0790","3.1050","3.1050","3.0350","0.11K","-1.63%"
"Feb 16, 2010","3.2190","3.0990","3.2190","3.0990","0.08K","4.55%"
"Feb 17, 2010","3.2390","3.2470","3.2500","3.2470","0.37K","0.62%"
"Feb 18, 2010","3.2850","3.2720","3.3020","3.2720","0.23K","1.42%"
"Feb 19, 2010","3.3570","3.2390","3.3600","3.2390","0.35K","2.19%"
"Feb 22, 2010","3.3070","3.3250","3.3370","3.2880","0.23K","-1.49%"
"Feb 23, 2010","3.2140","3.2750","3.2750","3.2110","0.09K","-2.81%"
"Feb 24, 2010","3.2360","3.2200","3.2240","3.2050","0.15K","0.68%"
"Feb 25, 2010","3.1920","3.2260","3.2690","3.1510","15.38K","-1.36%"
"Feb 26, 2010","3.2680","3.2100","3.2800","3.1880","3.67K","2.38%"
"Mar 01, 2010","3.3330","3.3590","3.4660","3.3080","1.92K","1.99%"
"Mar 02, 2010","3.3960","3.3290","3.3980","3.2770","1.34K","1.89%"
"Mar 03, 2010","3.4190","3.3840","3.4540","3.3370","0.97K","0.68%"
"Mar 04, 2010","3.3610","3.4100","3.4170","3.3340","1.56K","-1.70%"
"Mar 05, 2010","3.4020","3.3700","3.4400","3.3580","0.32K","1.22%"
"Mar 08, 2010","3.3970","3.4170","3.4500","3.3800","0.27K","-0.15%"
"Mar 09, 2010","3.3980","3.3900","3.4030","3.3450","0.59K","0.03%"
"Mar 10, 2010","3.3550","3.4110","3.4290","3.3400","0.32K","-1.27%"
"Mar 11, 2010","3.3660","3.3600","3.3780","3.3270","0.33K","0.33%"
"Mar 12, 2010","3.3690","3.3560","3.3850","3.3560","0.58K","0.09%"
"Mar 15, 2010","3.3070","3.3500","3.3500","3.2850","0.49K","-1.84%"
"Mar 16, 2010","3.3570","3.3090","3.3710","3.3090","0.21K","1.51%"
"Mar 17, 2010","3.4100","3.4040","3.4210","3.3930","0.65K","1.58%"
"Mar 18, 2010","3.3880","3.3840","3.3920","3.3720","0.19K","-0.65%"
