"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 01, 2010","414.25","414.25","414.25","414.25","-","-0.06%"
"Jan 04, 2010","418.50","415.75","426.25","413.25","140.55K","1.03%"
"Jan 05, 2010","418.75","417.25","420.00","415.25","80.97K","0.06%"
"Jan 06, 2010","421.75","418.00","422.00","416.00","96.45K","0.72%"
"Jan 07, 2010","417.50","421.00","424.00","414.50","137.40K","-1.01%"
"Jan 08, 2010","423.00","417.50","423.75","415.00","135.00K","1.32%"
"Jan 11, 2010","422.50","421.75","425.00","418.00","135.98K","-0.12%"
"Jan 12, 2010","392.50","419.00","419.00","392.50","93.35K","-7.10%"
"Jan 13, 2010","384.00","384.50","385.25","368.00","301.57K","-2.17%"
"Jan 14, 2010","381.00","382.25","382.75","376.50","150.82K","-0.78%"
"Jan 15, 2010","371.50","379.00","379.75","369.50","164.27K","-2.49%"
"Jan 18, 2010","371.75","371.75","371.75","371.75","-","0.07%"
"Jan 19, 2010","369.25","371.50","375.25","367.75","125.42K","-0.67%"
"Jan 20, 2010","368.00","369.25","370.50","362.25","117.03K","-0.34%"
"Jan 21, 2010","372.00","369.00","372.00","364.00","117.64K","1.09%"
"Jan 22, 2010","364.75","372.50","372.75","363.50","116.25K","-1.95%"
"Jan 25, 2010","367.75","366.75","369.25","365.25","83.43K","0.82%"
"Jan 26, 2010","362.25","367.75","369.00","360.25","106.61K","-1.50%"
"Jan 27, 2010","358.25","362.25","363.50","358.25","86.41K","-1.10%"
"Jan 28, 2010","361.75","359.00","363.00","357.75","104.22K","0.98%"
"Jan 29, 2010","356.50","361.75","363.50","355.25","131.89K","-1.45%"
"Jan 31, 2010","355.63","355.63","355.63","355.63","-","-0.25%"
"Feb 01, 2010","359.00","356.25","360.75","355.50","112.63K","0.95%"
"Feb 02, 2010","365.00","359.00","367.25","358.75","146.99K","1.67%"
"Feb 03, 2010","353.00","365.00","368.25","352.50","171.75K","-3.29%"
"Feb 04, 2010","354.00","355.75","359.00","349.00","163.43K","0.28%"
"Feb 05, 2010","351.50","354.25","355.50","347.50","164.66K","-0.71%"
