"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 01, 2010","2.1215","2.1215","2.1215","2.1215","-","0.13%"
"Jan 04, 2010","2.1905","2.1380","2.1965","2.1300","48.02K","3.25%"
"Jan 05, 2010","2.1941","2.1929","2.2060","2.1678","55.50K","0.16%"
"Jan 06, 2010","2.2032","2.1800","2.2120","2.1634","55.25K","0.41%"
"Jan 07, 2010","2.1836","2.2045","2.2069","2.1779","43.32K","-0.89%"
"Jan 08, 2010","2.2003","2.1864","2.2081","2.1587","49.59K","0.76%"
"Jan 11, 2010","2.1801","2.2145","2.2272","2.1660","47.38K","-0.92%"
"Jan 12, 2010","2.1318","2.1720","2.1753","2.1074","52.12K","-2.22%"
"Jan 13, 2010","2.0946","2.1150","2.1189","2.0600","61.81K","-1.75%"
"Jan 14, 2010","2.0829","2.0985","2.1091","2.0649","46.07K","-0.56%"
"Jan 15, 2010","2.0460","2.0809","2.0809","2.0369","44.88K","-1.77%"
"Jan 18, 2010","2.0445","2.0445","2.0550","2.0310","-","-0.07%"
"Jan 19, 2010","2.0454","2.0460","2.0550","1.9988","42.81K","0.04%"
"Jan 20, 2010","2.0211","2.0445","2.0445","1.9989","24.90K","-1.19%"
"Jan 21, 2010","1.9856","2.0246","2.0351","1.9779","30.25K","-1.76%"
"Jan 22, 2010","1.9416","1.9800","1.9960","1.9319","27.95K","-2.22%"
"Jan 25, 2010","1.9658","1.9390","1.9692","1.9354","20.81K","1.25%"
"Jan 26, 2010","1.9508","1.9690","1.9690","1.9336","26.61K","-0.76%"
"Jan 27, 2010","1.9168","1.9503","1.9645","1.8958","20.33K","-1.74%"
"Jan 28, 2010","1.9191","1.9180","1.9367","1.9025","21.68K","0.12%"
"Jan 29, 2010","1.9029","1.9220","1.9390","1.8903","9.79K","-0.84%"
"Feb 01, 2010","1.9549","1.9130","1.9698","1.9085","46.04K","2.73%"
"Feb 02, 2010","2.0317","1.9695","2.0376","1.9523","52.68K","3.93%"
"Feb 03, 2010","2.0194","2.0293","2.0574","2.0074","55.42K","-0.61%"
"Feb 04, 2010","1.9352","2.0209","2.0262","1.9169","59.53K","-4.17%"
"Feb 05, 2010","1.8748","1.9301","1.9450","1.8272","66.56K","-3.12%"
"Feb 08, 2010","1.8855","1.8890","1.9036","1.8650","44.15K","0.57%"
"Feb 09, 2010","1.9373","1.8830","1.9499","1.8747","47.98K","2.75%"
"Feb 10, 2010","1.9469","1.9380","1.9612","1.9076","40.53K","0.50%"
"Feb 11, 2010","1.9630","1.9496","1.9767","1.9241","47.83K","0.83%"
"Feb 12, 2010","1.9189","1.9627","1.9630","1.8995","56.08K","-2.25%"
"Feb 15, 2010","1.9180","1.9260","1.9290","1.9085","-","-0.05%"
"Feb 16, 2010","1.9963","1.9200","2.0073","1.9080","47.74K","4.08%"
"Feb 17, 2010","2.0067","2.0000","2.0125","1.9870","36.35K","0.52%"
"Feb 18, 2010","2.0516","2.0016","2.0567","1.9796","48.88K","2.24%"
"Feb 19, 2010","2.0699","2.0425","2.0780","2.0187","29.47K","0.89%"
"Feb 22, 2010","2.0788","2.0730","2.0913","2.0689","23.89K","0.43%"
"Feb 23, 2010","2.0323","2.0760","2.0800","2.0217","28.05K","-2.24%"
"Feb 24, 2010","2.0421","2.0366","2.0529","2.0153","22.08K","0.48%"
"Feb 25, 2010","1.9862","2.0500","2.0500","1.9642","20.79K","-2.74%"
"Feb 26, 2010","2.0249","1.9911","2.0350","1.9825","9.02K","1.95%"
"Mar 01, 2010","2.0235","2.0391","2.0681","2.0059","46.04K","-0.07%"
"Mar 02, 2010","2.0561","2.0330","2.0860","2.0159","45.25K","1.61%"
"Mar 03, 2010","2.0937","2.0582","2.0980","2.0543","53.77K","1.83%"
"Mar 04, 2010","2.0687","2.0950","2.0970","2.0605","41.46K","-1.19%"
"Mar 05, 2010","2.0974","2.0770","2.1079","2.0730","39.46K","1.39%"
"Mar 08, 2010","2.1055","2.1038","2.1200","2.0850","37.66K","0.39%"
"Mar 09, 2010","2.0898","2.1037","2.1067","2.0661","43.08K","-0.75%"
"Mar 10, 2010","2.1162","2.0910","2.1347","2.0786","53.42K","1.26%"
"Mar 11, 2010","2.1150","2.1150","2.1260","2.1019","45.71K","-0.06%"
"Mar 12, 2010","2.0940","2.1197","2.1442","2.0751","44.57K","-0.99%"
"Mar 15, 2010","2.0576","2.0960","2.1065","2.0435","38.76K","-1.74%"
"Mar 16, 2010","2.1143","2.0631","2.1230","2.0452","41.68K","2.76%"
"Mar 17, 2010","2.1395","2.1202","2.1440","2.1126","36.56K","1.19%"
"Mar 18, 2010","2.1191","2.1362","2.1362","2.1069","33.54K","-0.95%"
"Mar 19, 2010","2.0767","2.1160","2.1160","2.0502","32.43K","-2.00%"
"Mar 22, 2010","2.0837","2.0770","2.0895","2.0253","26.60K","0.34%"
"Mar 23, 2010","2.1018","2.0875","2.1046","2.0683","19.71K","0.87%"
"Mar 24, 2010","2.0707","2.0975","2.0975","2.0597","21.77K","-1.48%"
"Mar 25, 2010","2.0693","2.0634","2.0975","2.0597","23.15K","-0.07%"
"Mar 26, 2010","2.0697","2.0699","2.0940","2.0495","23.24K","0.02%"
"Mar 29, 2010","2.1188","2.0784","2.1429","2.0765","18.13K","2.37%"
