"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 04, 2010","5.884","5.705","5.894","5.705","78.86K","5.60%"
"Jan 05, 2010","5.637","5.837","5.858","5.615","99.49K","-4.20%"
"Jan 06, 2010","6.009","5.690","6.075","5.650","140.61K","6.60%"
"Jan 07, 2010","5.806","6.033","6.108","5.763","135.11K","-3.38%"
"Jan 08, 2010","5.749","5.827","5.853","5.621","101.15K","-0.98%"
"Jan 11, 2010","5.454","5.576","5.625","5.371","120.79K","-5.13%"
"Jan 12, 2010","5.591","5.485","5.605","5.354","109.93K","2.51%"
"Jan 13, 2010","5.733","5.588","5.785","5.432","158.39K","2.54%"
"Jan 14, 2010","5.588","5.754","5.804","5.483","160.79K","-2.53%"
"Jan 15, 2010","5.691","5.587","5.732","5.519","105.41K","1.84%"
"Jan 19, 2010","5.557","5.640","5.687","5.444","150.33K","-2.35%"
"Jan 20, 2010","5.496","5.595","5.624","5.464","72.28K","-1.10%"
"Jan 21, 2010","5.615","5.487","5.719","5.480","115.56K","2.17%"
"Jan 22, 2010","5.819","5.658","5.869","5.650","104.04K","3.63%"
"Jan 25, 2010","5.722","5.821","5.854","5.671","85.29K","-1.67%"
"Jan 26, 2010","5.485","5.707","5.721","5.434","65.65K","-4.14%"
"Jan 27, 2010","5.274","5.460","5.482","5.223","19.27K","-3.85%"
"Jan 28, 2010","5.138","5.230","5.258","5.060","107.01K","-2.58%"
"Jan 29, 2010","5.131","5.190","5.285","5.094","79.68K","-0.14%"
"Feb 01, 2010","5.434","5.247","5.450","5.236","106.10K","5.91%"
"Feb 02, 2010","5.454","5.436","5.538","5.378","104.92K","0.37%"
"Feb 03, 2010","5.419","5.441","5.558","5.360","97.20K","-0.64%"
"Feb 04, 2010","5.416","5.406","5.500","5.227","132.33K","-0.06%"
"Feb 05, 2010","5.515","5.485","5.598","5.383","149.13K","1.83%"
"Feb 08, 2010","5.401","5.602","5.680","5.396","140.79K","-2.07%"
"Feb 09, 2010","5.290","5.420","5.466","5.262","148.51K","-2.06%"
"Feb 10, 2010","5.292","5.348","5.380","5.240","138.42K","0.04%"
"Feb 11, 2010","5.396","5.297","5.416","5.286","135.61K","1.97%"
"Feb 12, 2010","5.468","5.404","5.556","5.204","149.08K","1.33%"
"Feb 16, 2010","5.310","5.429","5.560","5.305","140.89K","-2.89%"
"Feb 17, 2010","5.386","5.350","5.414","5.274","91.20K","1.43%"
"Feb 18, 2010","5.172","5.386","5.419","5.135","118.53K","-3.97%"
"Feb 19, 2010","5.044","5.151","5.167","5.008","96.76K","-2.47%"
"Feb 22, 2010","4.895","4.950","4.977","4.841","78.06K","-2.95%"
"Feb 23, 2010","4.778","4.915","4.934","4.766","66.65K","-2.39%"
