DATE_TIME,SEKI-XX_O3_PPB,
1/1/1992 12:00:00 AM,27,
1/1/1992 1:00:00 AM,26,
1/1/1992 2:00:00 AM,27,
1/1/1992 3:00:00 AM,30,
1/1/1992 4:00:00 AM,26,
1/1/1992 5:00:00 AM,28,
1/1/1992 6:00:00 AM,28,
1/1/1992 7:00:00 AM,29,
1/1/1992 8:00:00 AM,25,
1/1/1992 9:00:00 AM,27,
1/1/1992 10:00:00 AM,30,
1/1/1992 11:00:00 AM,30,
1/1/1992 12:00:00 PM,29,
1/1/1992 1:00:00 PM,31,
1/1/1992 2:00:00 PM,31,
1/1/1992 3:00:00 PM,28,
1/1/1992 4:00:00 PM,26,
1/1/1992 5:00:00 PM,28,
1/1/1992 6:00:00 PM,28,
1/1/1992 7:00:00 PM,29,
1/1/1992 8:00:00 PM,30,
1/1/1992 9:00:00 PM,27,
1/1/1992 10:00:00 PM,28,
1/1/1992 11:00:00 PM,29,
1/2/1992 12:00:00 AM,29,
1/2/1992 1:00:00 AM,30,
1/2/1992 2:00:00 AM,29,
1/2/1992 3:00:00 AM,30,
1/2/1992 4:00:00 AM,30,
1/2/1992 5:00:00 AM,31,
1/2/1992 6:00:00 AM,32,
1/2/1992 7:00:00 AM,30,
1/2/1992 8:00:00 AM,28,
1/2/1992 9:00:00 AM,28,
1/2/1992 10:00:00 AM,26,
1/2/1992 11:00:00 AM,26,
1/2/1992 12:00:00 PM,28,
1/2/1992 1:00:00 PM,26,
1/2/1992 2:00:00 PM,26,
1/2/1992 3:00:00 PM,26,
1/2/1992 4:00:00 PM,21,
1/2/1992 5:00:00 PM,25,
1/2/1992 6:00:00 PM,27,
1/2/1992 7:00:00 PM,28,
1/2/1992 8:00:00 PM,26,
1/2/1992 9:00:00 PM,24,
1/2/1992 10:00:00 PM,27,
1/2/1992 11:00:00 PM,33,
1/3/1992 12:00:00 AM,33,
1/3/1992 1:00:00 AM,31,
1/3/1992 2:00:00 AM,27,
1/3/1992 3:00:00 AM,28,
1/3/1992 4:00:00 AM,33,
1/3/1992 5:00:00 AM,30,
1/3/1992 6:00:00 AM,27,
1/3/1992 7:00:00 AM,26,
1/3/1992 8:00:00 AM,24,
1/3/1992 9:00:00 AM,26,
1/3/1992 10:00:00 AM,27,
1/3/1992 11:00:00 AM,28,
1/3/1992 12:00:00 PM,28,
1/3/1992 1:00:00 PM,27,
1/3/1992 2:00:00 PM,27,
1/3/1992 3:00:00 PM,25,
1/3/1992 4:00:00 PM,24,
1/3/1992 5:00:00 PM,22,
1/3/1992 6:00:00 PM,20,
1/3/1992 7:00:00 PM,14,
1/3/1992 8:00:00 PM,14,
1/3/1992 9:00:00 PM,13,
1/3/1992 10:00:00 PM,18,
1/3/1992 11:00:00 PM,22,
1/4/1992 12:00:00 AM,16,
1/4/1992 1:00:00 AM,19,
1/4/1992 2:00:00 AM,17,
1/4/1992 3:00:00 AM,16,
1/4/1992 4:00:00 AM,16,
1/4/1992 5:00:00 AM,16,
1/4/1992 6:00:00 AM,14,
1/4/1992 7:00:00 AM,17,
1/4/1992 8:00:00 AM,17,
1/4/1992 9:00:00 AM,23,
